product_name,product_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
papelaria,3.0,1400.0,38.0,40.0,39.0
brinquedos,4.0,250.0,20.0,14.0,12.0
esporte_lazer,1.0,1050.0,25.0,20.0,14.0
papelaria,1.0,500.0,24.0,7.0,16.0
beleza_saude,1.0,1467.0,23.0,16.0,20.0
fashion_bolsas_e_acessorios,3.0,100.0,16.0,5.0,11.0
papelaria,1.0,100.0,16.0,5.0,16.0
papelaria,2.0,300.0,23.0,7.0,15.0
esporte_lazer,2.0,950.0,60.0,15.0,15.0
ferramentas_jardim,1.0,250.0,17.0,3.0,11.0
pcs,1.0,12000.0,27.0,50.0,53.0
automotivo,6.0,921.0,17.0,9.0,16.0
casa_construcao,1.0,10000.0,60.0,25.0,25.0
relogios_presentes,2.0,250.0,16.0,11.0,11.0
cool_stuff,3.0,1200.0,44.0,20.0,20.0
construcao_ferramentas_construcao,1.0,4800.0,25.0,8.0,25.0
pet_shop,1.0,700.0,40.0,20.0,20.0
beleza_saude,3.0,1050.0,18.0,21.0,27.0
eletroportateis,3.0,350.0,20.0,20.0,20.0
perfumaria,1.0,422.0,21.0,16.0,18.0
relogios_presentes,1.0,317.0,19.0,13.0,16.0
agro_industria_e_comercio,1.0,16400.0,63.0,66.0,56.0
beleza_saude,1.0,938.0,29.0,22.0,23.0
beleza_saude,1.0,2700.0,21.0,16.0,31.0
cama_mesa_banho,1.0,1750.0,30.0,18.0,30.0
ferramentas_jardim,1.0,3850.0,29.0,12.0,24.0
perfumaria,2.0,267.0,17.0,13.0,17.0
instrumentos_musicais,3.0,16200.0,55.0,40.0,40.0
cama_mesa_banho,2.0,1400.0,38.0,9.0,27.0
cama_mesa_banho,1.0,6450.0,100.0,10.0,11.0
moveis_decoracao,3.0,2300.0,105.0,3.0,70.0
informatica_acessorios,2.0,300.0,25.0,8.0,18.0
esporte_lazer,1.0,600.0,50.0,10.0,12.0
beleza_saude,1.0,3600.0,20.0,20.0,20.0
beleza_saude,6.0,150.0,20.0,24.0,33.0
esporte_lazer,4.0,400.0,16.0,4.0,11.0
telefonia,1.0,100.0,18.0,6.0,11.0
moveis_decoracao,2.0,800.0,53.0,8.0,20.0
automotivo,6.0,5250.0,47.0,19.0,23.0
automotivo,1.0,200.0,35.0,4.0,26.0
relogios_presentes,2.0,335.0,17.0,11.0,12.0
cama_mesa_banho,1.0,1300.0,50.0,12.0,12.0
moveis_decoracao,3.0,150.0,35.0,2.0,25.0
informatica_acessorios,3.0,367.0,16.0,4.0,11.0
relogios_presentes,4.0,250.0,16.0,2.0,11.0
moveis_decoracao,1.0,8500.0,75.0,25.0,55.0
bebes,1.0,2150.0,42.0,25.0,15.0
,,650.0,17.0,14.0,12.0
esporte_lazer,4.0,150.0,16.0,5.0,11.0
cama_mesa_banho,1.0,650.0,27.0,10.0,22.0
eletroportateis,4.0,2700.0,20.0,26.0,32.0
utilidades_domesticas,1.0,1200.0,23.0,22.0,16.0
moveis_sala,2.0,6050.0,55.0,10.0,46.0
esporte_lazer,1.0,150.0,16.0,6.0,11.0
casa_construcao,6.0,1050.0,16.0,20.0,16.0
pet_shop,1.0,1350.0,23.0,7.0,30.0
utilidades_domesticas,1.0,600.0,36.0,6.0,19.0
moveis_decoracao,1.0,1000.0,30.0,18.0,18.0
cama_mesa_banho,2.0,1550.0,43.0,8.0,33.0
cama_mesa_banho,1.0,2700.0,45.0,13.0,35.0
telefonia,9.0,200.0,19.0,5.0,11.0
malas_acessorios,1.0,800.0,38.0,8.0,28.0
perfumaria,3.0,377.0,18.0,13.0,15.0
esporte_lazer,3.0,400.0,45.0,22.0,43.0
sinalizacao_e_seguranca,1.0,450.0,16.0,5.0,16.0
climatizacao,1.0,2000.0,32.0,51.0,16.0
fashion_bolsas_e_acessorios,1.0,300.0,16.0,2.0,11.0
moveis_decoracao,1.0,250.0,26.0,14.0,14.0
esporte_lazer,2.0,1950.0,60.0,15.0,15.0
telefonia,2.0,500.0,16.0,15.0,11.0
,,300.0,16.0,7.0,20.0
artes,6.0,7900.0,70.0,15.0,70.0
cama_mesa_banho,2.0,1800.0,41.0,9.0,34.0
ferramentas_jardim,1.0,900.0,37.0,3.0,23.0
fashion_bolsas_e_acessorios,7.0,200.0,16.0,2.0,11.0
bebes,4.0,4500.0,80.0,70.0,28.0
consoles_games,3.0,250.0,21.0,7.0,15.0
utilidades_domesticas,1.0,550.0,16.0,25.0,12.0
malas_acessorios,4.0,1100.0,39.0,12.0,28.0
cama_mesa_banho,1.0,3600.0,40.0,20.0,40.0
consoles_games,1.0,100.0,16.0,3.0,11.0
esporte_lazer,2.0,150.0,16.0,18.0,16.0
esporte_lazer,1.0,3775.0,18.0,13.0,16.0
cool_stuff,2.0,1400.0,25.0,20.0,20.0
consoles_games,5.0,900.0,22.0,7.0,18.0
relogios_presentes,2.0,250.0,20.0,12.0,20.0
brinquedos,1.0,350.0,21.0,9.0,16.0
,,200.0,20.0,20.0,20.0
bebes,3.0,1800.0,18.0,32.0,27.0
moveis_sala,2.0,5050.0,50.0,8.0,50.0
automotivo,1.0,27100.0,50.0,50.0,50.0
eletrodomesticos,1.0,1500.0,65.0,8.0,38.0
relogios_presentes,2.0,500.0,16.0,11.0,11.0
cama_mesa_banho,2.0,350.0,16.0,10.0,16.0
automotivo,3.0,500.0,16.0,12.0,17.0
esporte_lazer,1.0,1000.0,20.0,20.0,20.0
,,18500.0,41.0,30.0,41.0
brinquedos,2.0,300.0,24.0,11.0,24.0
beleza_saude,1.0,250.0,16.0,2.0,20.0
beleza_saude,1.0,10700.0,40.0,40.0,40.0
utilidades_domesticas,1.0,1700.0,32.0,21.0,22.0
ferramentas_jardim,1.0,7700.0,39.0,28.0,25.0
esporte_lazer,4.0,5200.0,20.0,60.0,35.0
telefonia,1.0,125.0,17.0,10.0,14.0
moveis_escritorio,1.0,15700.0,58.0,28.0,58.0
relogios_presentes,2.0,350.0,16.0,11.0,11.0
esporte_lazer,1.0,213.0,16.0,10.0,13.0
fashion_bolsas_e_acessorios,3.0,150.0,16.0,11.0,11.0
automotivo,3.0,18200.0,56.0,15.0,15.0
utilidades_domesticas,1.0,850.0,18.0,21.0,15.0
casa_construcao,6.0,1050.0,16.0,20.0,16.0
fashion_bolsas_e_acessorios,5.0,200.0,16.0,9.0,11.0
utilidades_domesticas,1.0,300.0,16.0,15.0,11.0
informatica_acessorios,1.0,200.0,23.0,9.0,13.0
esporte_lazer,1.0,800.0,20.0,25.0,25.0
papelaria,2.0,200.0,24.0,7.0,14.0
esporte_lazer,1.0,698.0,46.0,10.0,14.0
telefonia,6.0,350.0,17.0,4.0,12.0
livros_interesse_geral,3.0,1000.0,24.0,5.0,17.0
informatica_acessorios,1.0,783.0,21.0,13.0,28.0
perfumaria,2.0,600.0,20.0,20.0,20.0
brinquedos,1.0,11650.0,55.0,30.0,30.0
construcao_ferramentas_ferramentas,1.0,400.0,16.0,2.0,11.0
brinquedos,1.0,3050.0,40.0,10.0,40.0
telefonia,1.0,100.0,16.0,3.0,11.0
ferramentas_jardim,1.0,16500.0,40.0,25.0,26.0
utilidades_domesticas,2.0,750.0,34.0,14.0,24.0
fashion_underwear_e_moda_praia,1.0,250.0,36.0,4.0,20.0
malas_acessorios,3.0,2300.0,84.0,14.0,20.0
eletronicos,1.0,1350.0,33.0,12.0,26.0
utilidades_domesticas,3.0,530.0,17.0,20.0,20.0
automotivo,1.0,1300.0,20.0,20.0,20.0
fashion_calcados,5.0,4000.0,57.0,14.0,36.0
esporte_lazer,4.0,8150.0,20.0,20.0,20.0
construcao_ferramentas_construcao,1.0,2200.0,16.0,2.0,11.0
beleza_saude,1.0,1150.0,20.0,25.0,20.0
relogios_presentes,4.0,200.0,16.0,2.0,11.0
moveis_decoracao,3.0,400.0,16.0,20.0,16.0
moveis_decoracao,4.0,600.0,29.0,12.0,23.0
,,300.0,35.0,7.0,12.0
cama_mesa_banho,1.0,1200.0,16.0,10.0,16.0
cool_stuff,5.0,10664.0,61.0,63.0,35.0
utilidades_domesticas,2.0,1800.0,50.0,12.0,36.0
esporte_lazer,3.0,500.0,16.0,2.0,11.0
papelaria,1.0,258.0,19.0,12.0,19.0
papelaria,1.0,1400.0,16.0,44.0,37.0
brinquedos,1.0,400.0,35.0,7.0,35.0
climatizacao,5.0,1300.0,30.0,10.0,30.0
cama_mesa_banho,2.0,1000.0,30.0,10.0,25.0
pet_shop,3.0,1300.0,30.0,10.0,18.0
brinquedos,2.0,3305.0,38.0,36.0,19.0
bebes,2.0,6000.0,75.0,15.0,50.0
informatica_acessorios,4.0,300.0,35.0,5.0,25.0
cama_mesa_banho,1.0,250.0,20.0,2.0,15.0
perfumaria,2.0,400.0,18.0,11.0,11.0
eletronicos,1.0,250.0,16.0,10.0,30.0
brinquedos,2.0,1250.0,29.0,19.0,22.0
fashion_roupa_masculina,2.0,950.0,40.0,6.0,40.0
pet_shop,6.0,2000.0,30.0,34.0,17.0
bebes,7.0,13575.0,71.0,81.0,44.0
beleza_saude,1.0,667.0,17.0,16.0,16.0
relogios_presentes,2.0,267.0,17.0,11.0,12.0
cama_mesa_banho,2.0,1750.0,45.0,20.0,40.0
beleza_saude,1.0,150.0,16.0,12.0,11.0
brinquedos,1.0,10550.0,65.0,7.0,45.0
utilidades_domesticas,1.0,1725.0,100.0,35.0,16.0
malas_acessorios,1.0,700.0,45.0,10.0,31.0
esporte_lazer,1.0,400.0,34.0,16.0,16.0
papelaria,3.0,300.0,30.0,10.0,20.0
casa_construcao,1.0,5850.0,60.0,25.0,25.0
relogios_presentes,1.0,267.0,17.0,11.0,13.0
cama_mesa_banho,2.0,1500.0,39.0,12.0,25.0
cool_stuff,1.0,400.0,24.0,16.0,14.0
esporte_lazer,1.0,1300.0,31.0,32.0,31.0
utilidades_domesticas,1.0,400.0,16.0,10.0,14.0
artes,1.0,150.0,25.0,2.0,19.0
beleza_saude,1.0,650.0,25.0,13.0,14.0
consoles_games,1.0,706.0,32.0,8.0,38.0
fashion_bolsas_e_acessorios,1.0,300.0,25.0,10.0,25.0
cama_mesa_banho,1.0,4850.0,75.0,5.0,50.0
automotivo,1.0,825.0,20.0,24.0,15.0
informatica_acessorios,1.0,600.0,46.0,3.0,15.0
esporte_lazer,2.0,700.0,23.0,9.0,11.0
moveis_decoracao,1.0,300.0,40.0,10.0,27.0
utilidades_domesticas,2.0,1270.0,17.0,14.0,17.0
construcao_ferramentas_ferramentas,1.0,450.0,20.0,2.0,11.0
,,2200.0,16.0,2.0,11.0
eletrodomesticos,1.0,150.0,18.0,8.0,13.0
ferramentas_jardim,1.0,200.0,16.0,3.0,11.0
moveis_cozinha_area_de_servico_jantar_e_jardim,1.0,10893.0,33.0,88.0,44.0
utilidades_domesticas,1.0,1800.0,25.0,7.0,20.0
brinquedos,2.0,1220.0,20.0,33.0,22.0
beleza_saude,6.0,360.0,30.0,19.0,22.0
eletronicos,1.0,175.0,22.0,11.0,15.0
pet_shop,1.0,1900.0,50.0,13.0,70.0
esporte_lazer,5.0,250.0,20.0,20.0,20.0
bebes,3.0,6950.0,85.0,11.0,50.0
utilidades_domesticas,1.0,1100.0,55.0,5.0,40.0
bebes,5.0,300.0,17.0,7.0,24.0
moveis_escritorio,1.0,16500.0,58.0,28.0,58.0
malas_acessorios,1.0,300.0,16.0,23.0,19.0
eletronicos,1.0,1836.0,61.0,6.0,24.0
beleza_saude,1.0,175.0,18.0,22.0,16.0
brinquedos,1.0,675.0,22.0,24.0,21.0
esporte_lazer,4.0,200.0,26.0,5.0,20.0
industria_comercio_e_negocios,1.0,1200.0,30.0,20.0,30.0
informatica_acessorios,2.0,200.0,39.0,2.0,30.0
moveis_escritorio,2.0,16100.0,63.0,61.0,24.0
telefonia,1.0,117.0,19.0,4.0,12.0
telefonia_fixa,1.0,455.0,36.0,18.0,27.0
cama_mesa_banho,1.0,550.0,16.0,10.0,16.0
fashion_calcados,4.0,750.0,22.0,12.0,33.0
cool_stuff,2.0,586.0,18.0,11.0,13.0
construcao_ferramentas_iluminacao,6.0,540.0,16.0,27.0,16.0
esporte_lazer,1.0,3700.0,30.0,20.0,20.0
utilidades_domesticas,4.0,3150.0,30.0,17.0,30.0
cama_mesa_banho,1.0,2100.0,53.0,27.0,40.0
construcao_ferramentas_seguranca,3.0,314.0,20.0,19.0,18.0
cama_mesa_banho,1.0,550.0,23.0,15.0,23.0
automotivo,1.0,13825.0,70.0,35.0,49.0
cama_mesa_banho,1.0,850.0,40.0,6.0,50.0
bebes,1.0,250.0,21.0,4.0,13.0
brinquedos,1.0,400.0,20.0,20.0,20.0
perfumaria,2.0,400.0,16.0,20.0,15.0
consoles_games,1.0,200.0,16.0,2.0,16.0
automotivo,5.0,250.0,20.0,20.0,20.0
informatica_acessorios,4.0,1950.0,17.0,11.0,12.0
moveis_decoracao,1.0,300.0,35.0,10.0,25.0
relogios_presentes,1.0,1050.0,30.0,45.0,11.0
automotivo,4.0,400.0,16.0,7.0,11.0
instrumentos_musicais,1.0,1000.0,56.0,9.0,22.0
esporte_lazer,1.0,150.0,16.0,16.0,11.0
beleza_saude,1.0,700.0,16.0,16.0,16.0
consoles_games,3.0,450.0,17.0,7.0,17.0
beleza_saude,1.0,2000.0,30.0,12.0,16.0
construcao_ferramentas_construcao,4.0,21400.0,20.0,20.0,20.0
,,300.0,16.0,7.0,11.0
informatica_acessorios,1.0,188.0,20.0,16.0,15.0
moveis_decoracao,1.0,300.0,16.0,30.0,20.0
fashion_bolsas_e_acessorios,2.0,13600.0,26.0,60.0,40.0
moveis_decoracao,3.0,800.0,25.0,25.0,25.0
,,300.0,18.0,8.0,14.0
moveis_decoracao,2.0,1400.0,65.0,12.0,12.0
relogios_presentes,1.0,650.0,13.0,11.0,12.0
construcao_ferramentas_construcao,1.0,600.0,26.0,17.0,17.0
moveis_decoracao,2.0,3000.0,69.0,11.0,11.0
malas_acessorios,1.0,950.0,46.0,10.0,33.0
moveis_decoracao,2.0,17400.0,42.0,35.0,42.0
fashion_roupa_masculina,2.0,300.0,16.0,2.0,11.0
informatica_acessorios,2.0,700.0,20.0,20.0,20.0
pet_shop,2.0,625.0,21.0,16.0,17.0
ferramentas_jardim,3.0,3250.0,32.0,14.0,22.0
fashion_calcados,2.0,1500.0,22.0,12.0,33.0
cama_mesa_banho,1.0,250.0,32.0,3.0,23.0
ferramentas_jardim,1.0,425.0,31.0,6.0,12.0
climatizacao,1.0,150.0,20.0,8.0,13.0
moveis_decoracao,3.0,350.0,68.0,8.0,13.0
fashion_calcados,12.0,300.0,29.0,7.0,16.0
telefonia,12.0,100.0,19.0,3.0,11.0
automotivo,3.0,550.0,16.0,21.0,18.0
automotivo,1.0,250.0,16.0,27.0,15.0
automotivo,1.0,1000.0,26.0,40.0,20.0
utilidades_domesticas,3.0,14850.0,35.0,102.0,35.0
bebes,3.0,850.0,42.0,25.0,15.0
consoles_games,4.0,1850.0,28.0,14.0,19.0
fashion_bolsas_e_acessorios,1.0,300.0,16.0,2.0,11.0
telefonia,1.0,200.0,19.0,4.0,11.0
beleza_saude,1.0,150.0,22.0,3.0,15.0
esporte_lazer,1.0,900.0,16.0,16.0,16.0
ferramentas_jardim,1.0,1900.0,44.0,19.0,19.0
cama_mesa_banho,1.0,1450.0,45.0,10.0,15.0
livros_tecnicos,1.0,1100.0,29.0,3.0,21.0
esporte_lazer,5.0,200.0,16.0,11.0,11.0
esporte_lazer,1.0,12600.0,20.0,10.0,20.0
beleza_saude,1.0,1450.0,25.0,25.0,16.0
cool_stuff,3.0,800.0,42.0,25.0,15.0
perfumaria,1.0,1300.0,22.0,14.0,14.0
beleza_saude,1.0,150.0,22.0,3.0,15.0
eletronicos,1.0,200.0,20.0,20.0,20.0
ferramentas_jardim,3.0,11450.0,23.0,43.0,35.0
moveis_decoracao,2.0,2200.0,20.0,20.0,20.0
eletrodomesticos_2,2.0,13200.0,66.0,19.0,67.0
fashion_bolsas_e_acessorios,3.0,200.0,16.0,2.0,11.0
consoles_games,1.0,150.0,19.0,11.0,11.0
instrumentos_musicais,3.0,3350.0,30.0,30.0,30.0
cama_mesa_banho,1.0,2200.0,42.0,11.0,36.0
moveis_escritorio,2.0,30000.0,50.0,50.0,30.0
bebes,2.0,500.0,30.0,8.0,35.0
cama_mesa_banho,1.0,1800.0,45.0,10.0,34.0
,,200.0,22.0,14.0,14.0
artigos_de_festas,1.0,1300.0,70.0,11.0,11.0
fashion_bolsas_e_acessorios,2.0,150.0,16.0,9.0,11.0
malas_acessorios,1.0,700.0,19.0,48.0,35.0
malas_acessorios,5.0,2900.0,40.0,55.0,30.0
fashion_bolsas_e_acessorios,4.0,200.0,16.0,9.0,11.0
beleza_saude,1.0,300.0,16.0,18.0,16.0
papelaria,2.0,200.0,23.0,7.0,15.0
cama_mesa_banho,1.0,700.0,49.0,4.0,50.0
telefonia,4.0,200.0,17.0,13.0,16.0
climatizacao,4.0,7800.0,105.0,10.0,40.0
papelaria,2.0,550.0,16.0,4.0,11.0
relogios_presentes,4.0,200.0,16.0,2.0,11.0
cama_mesa_banho,2.0,1000.0,30.0,7.0,24.0
papelaria,1.0,1000.0,26.0,8.0,33.0
construcao_ferramentas_iluminacao,4.0,1450.0,60.0,5.0,30.0
moveis_escritorio,1.0,5850.0,45.0,55.0,16.0
bebes,2.0,8300.0,45.0,25.0,45.0
esporte_lazer,1.0,1800.0,28.0,12.0,18.0
esporte_lazer,5.0,900.0,26.0,6.0,13.0
esporte_lazer,1.0,415.0,19.0,19.0,19.0
telefonia,1.0,103.0,21.0,6.0,14.0
automotivo,2.0,500.0,20.0,8.0,14.0
papelaria,1.0,600.0,16.0,6.0,11.0
informatica_acessorios,5.0,4750.0,18.0,22.0,30.0
relogios_presentes,1.0,263.0,18.0,15.0,16.0
bebes,1.0,50.0,16.0,2.0,11.0
perfumaria,1.0,200.0,16.0,22.0,11.0
cama_mesa_banho,1.0,360.0,36.0,6.0,26.0
cool_stuff,1.0,150.0,16.0,7.0,12.0
esporte_lazer,4.0,1100.0,32.0,5.0,30.0
fashion_bolsas_e_acessorios,6.0,2250.0,22.0,15.0,20.0
automotivo,5.0,1475.0,68.0,9.0,35.0
esporte_lazer,1.0,1600.0,100.0,7.0,11.0
beleza_saude,1.0,1650.0,25.0,30.0,20.0
brinquedos,3.0,650.0,35.0,10.0,15.0
utilidades_domesticas,1.0,900.0,21.0,34.0,34.0
telefonia,4.0,75.0,19.0,3.0,11.0
ferramentas_jardim,4.0,600.0,19.0,7.0,14.0
moveis_decoracao,3.0,400.0,35.0,6.0,15.0
utilidades_domesticas,2.0,553.0,18.0,9.0,15.0
livros_interesse_geral,1.0,900.0,18.0,25.0,16.0
utilidades_domesticas,2.0,250.0,25.0,25.0,25.0
moveis_escritorio,1.0,14900.0,58.0,28.0,58.0
cama_mesa_banho,1.0,1100.0,16.0,10.0,16.0
moveis_decoracao,2.0,2050.0,30.0,22.0,18.0
moveis_decoracao,1.0,850.0,69.0,11.0,11.0
cama_mesa_banho,1.0,350.0,16.0,10.0,16.0
ferramentas_jardim,3.0,1400.0,20.0,20.0,30.0
informatica_acessorios,4.0,200.0,20.0,20.0,20.0
informatica_acessorios,2.0,617.0,17.0,14.0,17.0
utilidades_domesticas,1.0,2600.0,16.0,41.0,41.0
bebidas,1.0,200.0,20.0,9.0,14.0
cama_mesa_banho,1.0,2000.0,49.0,16.0,39.0
beleza_saude,2.0,266.0,20.0,8.0,18.0
telefonia,1.0,200.0,19.0,4.0,11.0
bebes,1.0,300.0,68.0,7.0,13.0
pet_shop,1.0,300.0,16.0,16.0,16.0
relogios_presentes,1.0,200.0,16.0,2.0,20.0
eletroportateis,1.0,1300.0,20.0,16.0,20.0
esporte_lazer,4.0,482.0,18.0,11.0,16.0
cama_mesa_banho,1.0,550.0,16.0,10.0,16.0
beleza_saude,1.0,270.0,16.0,16.0,15.0
telefonia,6.0,300.0,17.0,4.0,12.0
market_place,3.0,2150.0,40.0,25.0,30.0
automotivo,1.0,3300.0,35.0,20.0,20.0
perfumaria,1.0,200.0,16.0,16.0,16.0
esporte_lazer,1.0,200.0,21.0,9.0,13.0
perfumaria,1.0,514.0,18.0,12.0,15.0
casa_construcao,2.0,3100.0,38.0,28.0,28.0
utilidades_domesticas,1.0,1200.0,27.0,18.0,23.0
esporte_lazer,2.0,250.0,16.0,10.0,16.0
brinquedos,2.0,7400.0,45.0,29.0,53.0
la_cuisine,1.0,7600.0,55.0,15.0,55.0
esporte_lazer,1.0,875.0,40.0,26.0,20.0
moveis_decoracao,3.0,700.0,35.0,7.0,27.0
moveis_escritorio,2.0,900.0,17.0,10.0,15.0
esporte_lazer,6.0,700.0,49.0,12.0,27.0
cama_mesa_banho,2.0,1100.0,16.0,10.0,16.0
cool_stuff,7.0,1150.0,28.0,10.0,25.0
cool_stuff,1.0,900.0,25.0,10.0,25.0
,,1400.0,25.0,25.0,25.0
livros_tecnicos,1.0,2050.0,29.0,5.0,21.0
beleza_saude,1.0,2150.0,28.0,32.0,11.0
beleza_saude,4.0,490.0,30.0,5.0,25.0
brinquedos,5.0,1000.0,30.0,13.0,30.0
informatica_acessorios,4.0,200.0,16.0,4.0,14.0
utilidades_domesticas,2.0,500.0,19.0,13.0,20.0
cama_mesa_banho,1.0,500.0,16.0,10.0,16.0
,,4300.0,30.0,10.0,48.0
perfumaria,1.0,1000.0,20.0,14.0,13.0
automotivo,5.0,4200.0,78.0,4.0,47.0
perfumaria,1.0,350.0,16.0,11.0,11.0
telefonia,2.0,125.0,19.0,3.0,11.0
telefonia,2.0,100.0,19.0,3.0,11.0
utilidades_domesticas,4.0,4100.0,51.0,31.0,31.0
eletronicos,2.0,200.0,20.0,20.0,20.0
consoles_games,4.0,300.0,23.0,3.0,11.0
utilidades_domesticas,7.0,8400.0,50.0,28.0,31.0
utilidades_domesticas,1.0,1550.0,46.0,10.0,35.0
utilidades_domesticas,1.0,600.0,17.0,17.0,18.0
fashion_bolsas_e_acessorios,1.0,200.0,16.0,2.0,20.0
automotivo,3.0,500.0,16.0,21.0,18.0
construcao_ferramentas_ferramentas,1.0,1250.0,22.0,17.0,20.0
informatica_acessorios,1.0,667.0,27.0,19.0,20.0
cama_mesa_banho,1.0,300.0,40.0,4.0,30.0
perfumaria,1.0,400.0,18.0,18.0,12.0
esporte_lazer,3.0,450.0,25.0,25.0,25.0
automotivo,1.0,2800.0,16.0,2.0,11.0
moveis_decoracao,1.0,250.0,20.0,6.0,11.0
moveis_decoracao,1.0,250.0,35.0,5.0,25.0
pet_shop,3.0,300.0,24.0,12.0,12.0
,,150.0,16.0,2.0,11.0
moveis_decoracao,2.0,1000.0,35.0,25.0,25.0
moveis_decoracao,1.0,6267.0,36.0,40.0,36.0
esporte_lazer,1.0,2653.0,53.0,15.0,36.0
moveis_decoracao,2.0,3000.0,69.0,11.0,11.0
automotivo,1.0,8500.0,18.0,29.0,13.0
esporte_lazer,1.0,2120.0,26.0,25.0,25.0
eletroportateis,3.0,750.0,30.0,30.0,30.0
beleza_saude,2.0,200.0,16.0,16.0,12.0
cama_mesa_banho,1.0,1650.0,35.0,20.0,30.0
informatica_acessorios,1.0,900.0,26.0,13.0,21.0
utilidades_domesticas,1.0,150.0,32.0,5.0,16.0
utilidades_domesticas,1.0,800.0,31.0,5.0,21.0
cool_stuff,3.0,700.0,20.0,20.0,20.0
bebidas,1.0,700.0,20.0,20.0,20.0
bebes,6.0,10400.0,100.0,23.0,27.0
instrumentos_musicais,1.0,5850.0,40.0,9.0,105.0
cama_mesa_banho,1.0,75.0,17.0,12.0,17.0
papelaria,2.0,1000.0,27.0,10.0,20.0
automotivo,4.0,1475.0,32.0,28.0,28.0
fashion_bolsas_e_acessorios,4.0,750.0,36.0,18.0,36.0
papelaria,10.0,3600.0,36.0,8.0,15.0
moveis_decoracao,3.0,2200.0,28.0,28.0,38.0
eletrodomesticos,1.0,150.0,20.0,13.0,15.0
casa_construcao,1.0,1750.0,30.0,20.0,30.0
esporte_lazer,4.0,1300.0,44.0,8.0,30.0
moveis_sala,2.0,7750.0,33.0,25.0,33.0
utilidades_domesticas,1.0,3100.0,32.0,26.0,21.0
malas_acessorios,4.0,1600.0,55.0,37.0,30.0
relogios_presentes,2.0,350.0,19.0,13.0,13.0
beleza_saude,1.0,888.0,18.0,17.0,18.0
informatica_acessorios,3.0,150.0,16.0,4.0,14.0
utilidades_domesticas,1.0,1025.0,25.0,23.0,25.0
